id,lane,artist,title,year,subculture,proposed_signals,why,error
bef45985-ece7-4321-9b50-baac0e7ebcda,classic_rock,Black Sabbath,Paranoid,,,open_signal,"It is a highly accessible, short, and driving rock anthem with an instantly recognizable hook that invites everyone to sing along.",
b977f130-19fa-4e7e-b281-71efc73c4305,classic_rock,Bob Dylan,Like a Rolling Stone,,,open_signal,"Its legendary, sweeping organ hook and universally chantable chorus define the ultimate open-door rock anthem.",
b3931e8a-0f19-4de7-990c-24dc30d328b5,classic_rock,Boston,More Than a Feeling,,,open_signal|melody_maximalist,"The song is a quintessential arena-rock anthem defined by its universally catchy hooks, soaring vocal melodies, and massive radio-friendly appeal.",
a3fc5097-9884-4b9d-966f-a4aa69b855fd,classic_rock,Bruce Springsteen,Born to Run,,,forward_motion_romantic|open_signal,"The song's iconic driving rhythm and desperate yearning epitomize a propulsive romantic escape, delivered as a universally welcoming arena rock anthem.",
04aa78b3-4529-4788-9910-aadbaca9a1fd,classic_rock,Bruce Springsteen,Thunder Road,,,forward_motion_romantic|catharsis_engine,"The song is the ultimate expression of driving emotional yearning, building from a quiet piano intro into an explosive, cathartic rock anthem.",
38021a7b-a555-477d-a401-6cee390c906b,classic_rock,Creedence Clearwater Revival,Fortunate Son,,,open_signal,"It is an instantly recognizable, high-energy protest anthem that invites universal sing-alongs through its urgent, radio-friendly rock structure.",
83dff052-0392-4e83-b22e-d490af1eb5ce,classic_rock,David Bowie,Rebel Rebel,,,open_signal,"Fueled by one of rock's most iconic, instantly recognizable guitar riffs, the song operates as an infectious, gender-bending anthem that invites everyone to join the rebellion.",
5e7f2747-1633-4e11-8537-7e0de7259744,classic_rock,David Bowie,Space Oddity,,,texture_astronaut|beautiful_doom_seeker,"The song's cosmic, Mellotron-drenched textures and acoustic drift perfectly capture the sublime, melancholic isolation of Major Tom's tragic journey.",
5cf86e47-7f19-45d9-aecc-713d81bed293,classic_rock,Derek and the Dominos,Layla,,,catharsis_engine|melody_maximalist,"The song delivers an legendary melodic guitar riff before shifting into one of rock's most celebrated, emotionally releasing piano codas.",
0c0fbf77-5da3-4963-8592-7d2627c43ac9,classic_rock,Eagles,Hotel California,,,cinematic_romantic|beautiful_doom_seeker,"The song pairs a widescreen, novelistic desert travelogue with a gorgeous, inescapable sense of melancholy and dark luxury.",
084e9137-075a-45d1-bfe7-a80859a1ee54,classic_rock,Elton John,Tiny Dancer,,,open_signal|melody_maximalist,"The song builds from a delicate piano ballad into a massive, universally welcoming chorus driven by unforgettable melodic hooks.",
fb78fd0f-cf43-497b-b352-901f7a5718b6,classic_rock,Fleetwood Mac,Dreams,,,bassline_mystic,"The song is entirely anchored by its iconic, hypnotic two-chord bassline and drum groove, creating a steady, body-forward foundation for the vocals.",
3937a324-3dfe-42df-91b8-d83b6938f39f,classic_rock,Fleetwood Mac,Go Your Own Way,,,forward_motion_romantic|open_signal,"The song's relentless, driving rhythm propels a bitter-sweet romantic yearning, wrapped in a universally accessible, radio-ready stadium anthem.",
49a84f18-37f9-490a-a211-765f40f3806e,classic_rock,Fleetwood Mac,Landslide,,,beautiful_doom_seeker,"The song's gentle acoustic beauty conveys a deeply sublime, tender, and melancholic acceptance of aging and change.",
4fead491-d63f-489f-a53c-fd857a6527c5,classic_rock,Fleetwood Mac,The Chain,,,bassline_mystic|catharsis_engine,"Built around one of rock's most iconic bass pivots, the track masterfully builds tension toward an explosive, emotion-releasing guitar outro.",
afc26228-989a-4675-acf1-fcbbbc36206b,classic_rock,Jefferson Airplane,White Rabbit,,,catharsis_engine|beautiful_doom_seeker,"The song is a legendary slow-building psychedelic march that pairs a menacing, ominous atmosphere with an explosive vocal climax.",
451d1fec-36df-4883-b16c-421747de389f,classic_rock,Jimi Hendrix,All Along the Watchtower,,,forward_motion_romantic,"The song's relentless, driving acoustic-and-drum rhythm coupled with Jimi's urgent vocals and soaring guitar solos creates a powerful sense of propulsive drama.",
6621280f-e193-412c-968b-71a8bb739faf,classic_rock,John Lennon,Imagine,,,open_signal,"The song is a universally accessible, gentle anthem that invites global connection and shared hope through its simple, welcoming message.",
