id,lane,artist,title,existing_year,proposed_year,existing_canon,proposed_canon,why,error
a1000001-0000-0000-0000-000000000002,alt-rock,Hum,Stars,1995,,,72,"A defining 1990s space-rock and alternative metal landmark, 'Stars' remains a highly recognizable radio staple and a massive influence on modern heavy music.",
0e64f6a2-d17d-4c72-9139-15ace4129c5f,artrock_experimental,Bjork,Army of Me,1995,,,82,"As the lead single from 'Post', its iconic industrial bassline and aggressive electronic sound make it one of Björk's most famous and widely licensed signature tracks.",
70af60ec-dd68-4f9c-974d-ff4f7859b994,artrock_experimental,Bjork,Bachelorette,1997,,,78,"An iconic, melodramatic art-pop centerpiece from 'Homogenic' widely recognized for its sweeping orchestral production and acclaimed Michel Gondry music video.",
e4950cdf-58e4-467c-ab4d-1e2ae074c57b,artrock_experimental,Bjork,Enjoy,1995,,,58,"A highly regarded, industrial-tinged electronic track from Björk's landmark album 'Post,' widely known among alternative music fans but not a major crossover hit.",
f602b363-0dfe-4f0a-b993-81a96a63a715,artrock_experimental,Bjork,Human Behaviour,1993,,,82,"Served as Björk's breakthrough solo single and remains a defining alternative landmark, famous for its distinctive timpani-driven production and surreal music video.",
aeff4516-3fed-4739-92fd-d3cb46e48e2f,artrock_experimental,Bjork,Hyperballad,1995,,,83,"Widely regarded as one of Björk's definitive masterpieces, this signature track is a towering landmark of 1990s electronic art-pop.",
f7dbe172-5201-47bd-b9da-b0f1509c7e2b,artrock_experimental,Pavement,Cut Your Hair,1994,,,78,"As Pavement's signature song and a defining 1990s indie rock anthem, it remains a highly recognizable classic of the alternative genre.",
2a2aaf43-f979-401f-b8bd-d41678ee8cd1,artrock_experimental,Pavement,Gold Soundz,1994,,,68,"Widely regarded by critics as one of the defining indie rock anthems of the 1990s, though its popularity remains largely concentrated within alternative music circles.",
b4f51a31-89f6-400c-a3a8-787cd09e9134,artrock_experimental,Pavement,Range Life,1994,,,72,A defining 1990s indie rock landmark known for its breezy alt-country sound and famous lyrical call-outs of mainstream alternative bands.,
58a56f9d-7118-474e-9369-328517dbde7c,artrock_experimental,Pavement,Summer Babe,1992,,,68,"A seminal 1990s indie rock landmark and the opening track of a highly acclaimed debut album, highly revered by music critics and indie fans but obscure to the general public.",
10d87090-d509-49be-a9ee-340a993c3241,artrock_experimental,Pixies,Debaser,1989,,,80,"As the iconic opening track of 'Doolittle', it remains a cornerstone of alternative rock and is widely recognized by music fans.",
0a862dd7-90e0-43f8-b87b-74b4bb19916b,artrock_experimental,Pixies,Here Comes Your Man,1989,,,85,"One of the Pixies' most accessible and widely streamed radio hits, cemented in pop culture by major film placements and enduring alternative rock radio play.",
3807ed5c-0eac-4444-b453-211c7ea2f226,artrock_experimental,Radiohead,Creep,1992,,,98,A generation-defining alternative rock anthem that remains one of the most streamed and globally recognized songs of the 1990s.,
066887a8-4c41-41b4-86a1-cfbaa1a72c90,artrock_experimental,Radiohead,Fake Plastic Trees,1995,,,88,"A defining acoustic alternative anthem of the 1990s, highly revered by critics and casual fans alike with massive lingering cultural weight.",
6f6b158e-74ed-4556-850e-7f1c1e4c76b0,artrock_experimental,Radiohead,Just,1995,,,80,"A defining single from 'The Bends,' highly celebrated for its complex guitar work and legendary, enigmatic music video.",
f5d34434-7030-43c6-a1fa-490bac74bdee,artrock_experimental,Radiohead,Karma Police,1997,,,93,"A massive alternative rock hit and signature track from the landmark album OK Computer, widely recognized worldwide to this day.",
